celula,algoritmo,seed,git_sha,total_kwh,total_gco2,total_migrations,total_mig_bytes,mean_active_hosts,final_sla_violations,total_unplaced_vms,algo_wall_total_us,fonte_carbono
az-em2021-folgada,best_fit,51,305e2b27726305e196eea090fabc312280b39e1f,45.647246646361744,23974.91254210886,0,0.0,207.84583333333333,0,0,2636,em2021
az-em2021-folgada,bfd,42,305e2b27726305e196eea090fabc312280b39e1f,47.58912910452346,23602.97151656049,0,0.0,222.49583333333334,0,0,2229,em2021
az-em2021-folgada,bfd,43,305e2b27726305e196eea090fabc312280b39e1f,47.20245704751324,23480.112493827317,0,0.0,222.80416666666667,0,0,2885,em2021
az-em2021-folgada,bfd,44,305e2b27726305e196eea090fabc312280b39e1f,47.56015637134771,23604.684834578544,0,0.0,224.56666666666666,0,0,2351,em2021
az-em2021-folgada,bfd,45,305e2b27726305e196eea090fabc312280b39e1f,46.830600777193276,23201.262592744144,0,0.0,222.14583333333334,0,0,2004,em2021
az-em2021-folgada,bfd,46,305e2b27726305e196eea090fabc312280b39e1f,47.27215242042981,23512.97114685357,0,0.0,222.3875,0,0,2853,em2021
az-em2021-folgada,bfd,47,305e2b27726305e196eea090fabc312280b39e1f,47.187869663090865,23308.184781374744,0,0.0,222.6875,0,0,3537,em2021
az-em2021-folgada,bfd,48,305e2b27726305e196eea090fabc312280b39e1f,48.64269665202882,24313.376887720497,0,0.0,226.76666666666668,0,0,3338,em2021
az-em2021-folgada,bfd,49,305e2b27726305e196eea090fabc312280b39e1f,46.942761944947485,23354.763642422025,0,0.0,222.9,0,0,3171,em2021
az-em2021-folgada,bfd,50,305e2b27726305e196eea090fabc312280b39e1f,47.355028444678005,23599.09071937897,0,0.0,223.1,0,0,3036,em2021
az-em2021-folgada,bfd,51,305e2b27726305e196eea090fabc312280b39e1f,48.041577722752784,24078.13281915545,0,0.0,224.675,0,0,2972,em2021
