celula,algoritmo,n_seeds,categoria,dif_gco2,dif_gco2_pct,dif_kwh,dif_kwh_pct,gib_migrados,gco2_por_gib,degenerado_por_construcao,p_bruto,p_holm3,significativo_gco2,recorte
az-anticorr-folgada,followme_s,10,vence_ambos,-827.9160085867709,-12.944454954091725,-1.8741043574883214,-3.9217826442073433,6356.9006441513075,0.1302389411022962,False,0.001953125,0.005859375,True,doze_celulas_seeds42_51
az-anticorr-alta,cnemesis,10,vence_ambos,-242.25631841086215,-0.4958149713616224,-0.25262515607847147,-0.17459384967943398,5594.004120730888,0.04330642473306044,False,0.00390625,0.005859375,True,doze_celulas_seeds42_51
az-anticorr-alta,follow_renewables,10,vence_ambos,-5575.640001624432,-11.41140840355552,-6.465721710584785,-4.4685781175974295,23229.53996316232,0.2400236944195343,False,0.001953125,0.005859375,True,doze_celulas_seeds42_51
az-anticorr-alta,followme_s,10,vence_ambos,-452.7623409531196,-0.9266480584938448,-0.8757469709559388,-0.6052446928793045,8836.87232111115,0.05123558703812857,False,0.001953125,0.005859375,True,doze_celulas_seeds42_51
go-realjun-folgada,cnemesis,10,vence_ambos,-78.10164667732747,-1.8600458124273895,-0.3931907409181477,-1.1209433543195007,3680.154523140192,0.021222382426128433,False,0.001953125,0.005859375,True,doze_celulas_seeds42_51
go-realjun-folgada,follow_renewables,10,nao_elegivel_sem_migracao,0.0,0.0,0.0,0.0,0.0,,False,1.0,1.0,False,doze_celulas_seeds42_51
go-realjun-folgada,followme_s,10,vence_ambos,-164.20338906671773,-3.910619547905094,-1.027787566197547,-2.9301087794974054,9102.984366703871,0.018038412728393453,False,0.001953125,0.005859375,True,doze_celulas_seeds42_51
go-realjun-alta,cnemesis,10,vence_ambos,-261.79460243008,-0.42896758199592705,-0.05574862423160596,-0.038857839949344955,6853.538424639404,0.038198458403456634,False,0.00390625,0.005859375,True,doze_celulas_seeds42_51
go-realjun-alta,follow_renewables,10,vence_ambos,-1205.0194191594455,-1.9745031474933528,-1.3086128293305819,-0.9121277624095797,18111.0399560228,0.06653507595839178,False,0.001953125,0.005859375,True,doze_celulas_seeds42_51
go-realjun-alta,followme_s,10,vence_ambos,-637.4356553577614,-1.044480020667493,-0.7097823315160099,-0.494731638978914,8556.74336846657,0.07449512365964465,False,0.001953125,0.005859375,True,doze_celulas_seeds42_51
